
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             ELF, 64-bit LSB executable, AMD x86-64, version 1 (SYSV)
2347896       0x23D378        bix header, header size: 64 bytes, header CRC: 0x488983, created: 2038-01-19 03:14:08, image size: 1216971656 bytes, Data Address: 0x48, Entry Point: 0xC7435000, data CRC: 0x48, compression type: none, image name: ""
2489809       0x25FDD1        bix header, header size: 64 bytes, header CRC: 0xC74508, created: 1970-01-01 00:00:00, image size: 1208042752 bytes, Data Address: 0x488D83B0, Entry Point: 0x48, data CRC: 0x89420848, compression type: none, image name: ""
2649268       0x286CB4        bix header, header size: 64 bytes, header CRC: 0x488D93, created: 2038-01-19 03:14:08, image size: 1211744884 bytes, Data Address: 0x5B488BAB, Entry Point: 0x80000000, data CRC: 0x4C8D6D20, image name: ">#E"
2660104       0x289708        bix header, header size: 64 bytes, header CRC: 0x4885C0, created: 2031-09-11 16:46:51, image size: 939553797 bytes, Data Address: 0x4889DFFF, Entry Point: 0xD0488B9B, data CRC: 0xB8000000, image name: ""
3112507       0x2F7E3B        bix header, header size: 64 bytes, header CRC: 0x488944, created: 1989-04-10 11:08:51, image size: 206080324 bytes, Data Address: 0x2438E815, Entry Point: 0xF80D0048, data CRC: 0xF7D819C0, image name: ""
4066059       0x3E0B0B        bix header, header size: 64 bytes, header CRC: 0x83FF07, created: 2008-07-28 11:52:40, image size: 184549444 bytes, Data Address: 0x89C24889, Entry Point: 0xDF19C083, data CRC: 0xE0FD83C0, OS: Dell, image name: ""
4312985       0x41CF99        bix header, header size: 64 bytes, header CRC: 0x41BE06, created: 1970-01-01 00:03:18, image size: 1074987080 bytes, Data Address: 0x8B838000, Entry Point: 0x66C7, data CRC: 0x40100000, image name: ""
5010643       0x4C74D3        bix header, header size: 64 bytes, header CRC: 0x0, created: 1970-04-16 19:56:00, image size: 16777471 bytes, Data Address: 0xC88985D0, Entry Point: 0x100008B, data CRC: 0x4B1CD3C2, compression type: gzip, image name: ""
5525430       0x544FB6        bix header, header size: 64 bytes, header CRC: 0x488944, created: 1989-03-10 22:13:31, image size: 1131956361 bytes, Data Address: 0x44242048, Entry Point: 0x8B437048, data CRC: 0x89442428, image name: ""
5834190       0x5905CE        bix header, header size: 64 bytes, header CRC: 0x85C00F, created: 2040-06-13 05:22:08, image size: 9130832 bytes, Data Address: 0x89D6C1EE, Entry Point: 0x1E83FE02, data CRC: 0x750B80F5, OS: OpenBSD, compression type: none, image name: ""
6258296       0x5F7E78        bix header, header size: 64 bytes, header CRC: 0x664189, created: 2040-04-02 13:02:56, image size: 63107 bytes, Data Address: 0x86000000, Entry Point: 0x20F84D8, data CRC: 0x48, compression type: none, image name: ""
